actual,predicted
4550000,3615090.2789648566
4900000,3996445.5323782675
5250000,5813961.767705774
4270000,3754443.6350768195
5810000,5299651.222113999
5600000,6509044.582136204
4620000,5412618.599366891
7210000,7557624.121290055
5530000,5700469.617279816
4900000,3535348.9380455776
3430000,2835336.1715838127
3150000,2925200.2066569
4270000,4713981.694417367
10150000,8514703.094493415
4200000,4870621.150342739
3360000,3916417.278425928
6020000,6776954.870402249
8400000,4553941.698953669
4585000,4028474.922577994
6300000,6106918.213386125
2800000,3288541.4920988395
2940000,2438643.6865160717
8575000,7321535.501044229
6650000,6429156.811141484
8120000,6469709.717057431
3080000,4198158.3849062575
3605000,3087589.0432989276
4480000,4345631.532983485
5243000,4590101.063787577
6720000,5972570.976107045
2730000,3602099.359662547
4200000,5804153.155671222
5740000,6504651.036755367
2590000,2654885.063299187
5880000,6224994.340241077
1960000,2996695.75943896
4200000,4956649.68512868
5110000,5455930.003039994
2940000,2691892.1269415575
4830000,6507011.264938511
6230000,5065406.806890494
2345000,2664641.3387899436
3220000,3110950.4832389373
3115000,3285727.6891863383
6650000,5269093.585242166
7420000,5923599.502656781
4970000,5513043.666558068
5950000,5747167.988423768
4235000,4007420.6720868545
2660000,2579233.9399514594
2835000,3221451.578875489
3920000,4905075.743557818
4550000,4860653.962456192
3255000,2312273.594941381
5810000,4821464.344583299
3850000,2929049.5665741377
4900000,4908593.494493827
3360000,3897536.9028021647
5740000,6185350.907881894
3087000,4032251.6933951434
2450000,2721793.986891293
3535000,3394907.446355556
4900000,4914258.45844945
4193000,5318997.52921473
3360000,3114686.7435038825
3143000,4297900.7608001
3500000,3862959.7641571793
2835000,4137302.05619115
4340000,3198290.9667166723
3500000,3387461.298865908
2870000,2095196.4652720531
4403000,4293187.138964591
3990000,5434802.448434298
5110000,5149627.55203582
3640000,5115668.961151735
4620000,5376714.813400594
3500000,3801320.0225631413
7700000,7230078.994869968
3395000,3655271.051480377
3885000,4657048.311399651
3500000,6150214.1131353425
4305000,3342983.9919579085
3150000,3759279.0757688833
3080000,3021538.450035447
2380000,3376731.2821070375
3150000,3548378.0287267636
6650000,6827446.966301656
4060000,5108710.738117343
4907000,4077256.3000317747
5943000,7327634.748111916
9100000,5060287.29954374
6083000,6233607.7075670445
7350000,7677098.507757453
5600000,5170035.759324267
6755000,6672906.800676548
4550000,3752950.65868459
3360000,4733039.534770335
1820000,3426038.56574197
6107500,4199783.810865825
6405000,6985150.219181494
4473000,3415987.1289726337
3332000,4301223.968062743
4130000,4662758.637844718
5250000,6916125.905213427
7343000,6754410.727622786
4550000,3586143.607959078
4830000,4789306.909654248
5005000,5742168.722410445
7525000,7259593.614510468
